date,value
2021-10-17,2689867.7598999883
2021-10-18,2677142.57869999
2021-10-19,2702076.000599988
2021-10-20,2723320.816199988
2021-10-21,2715451.285399989
2021-10-22,2675418.5299999886
2021-10-23,2675418.5299999886
2021-10-24,2675418.5299999886
2021-10-25,2722703.2151999916
2021-10-26,2728831.5111999908
2021-10-27,2686956.012899991
2021-10-28,2732526.9184999918
2021-10-29,2723972.7708999924
2021-10-30,2723972.7708999924
2021-10-31,2723972.7708999924
2021-11-01,2781435.902099992
2021-11-02,2804165.4398999913
2021-11-03,2843322.876899992
2021-11-04,2829125.4957999913
2021-11-05,2855810.2277999916
2021-11-06,2855810.2277999916
2021-11-07,2855810.2277999916
2021-11-08,2919007.7853999906
2021-11-09,2896035.6955999895
2021-11-10,2841497.8716999893
2021-11-11,2876332.592199989
2021-11-12,2899343.0787999905
2021-11-13,2899343.0787999905
2021-11-14,2899343.0787999905
2021-11-15,2882842.734699992
2021-11-16,2862493.462399991
2021-11-17,2831315.129299993
2021-11-18,2798833.8658999926
2021-11-19,2782938.1448999946
2021-11-20,2782938.1448999946
2021-11-21,2782938.1448999946
2021-11-22,2751146.558499994
2021-11-23,2752312.9114999943
2021-11-24,2772221.076699996
2021-11-25,2772221.076699996
2021-11-26,2690962.1505999947
2021-11-27,2690962.1505999947
2021-11-28,2690962.1505999947
2021-11-29,2719402.789499995
2021-11-30,2685465.622499994
2021-12-01,2604721.7649999955
2021-12-02,2648815.859899996
2021-12-03,2582701.048999993
2021-12-04,2582701.048999993
2021-12-05,2582701.048999993
2021-12-06,2627253.804499992
2021-12-07,2712818.893499991
2021-12-08,2724516.3378999936
2021-12-09,2669136.0934999953
2021-12-10,2665193.9184999955
2021-12-11,2665193.9184999955
2021-12-12,2665193.9184999955
2021-12-13,2621883.130999994
2021-12-14,2581171.858999997
2021-12-15,2615751.572899996
2021-12-16,2588596.081999992
2021-12-17,2616444.927999994
2021-12-18,2616444.927999994
2021-12-19,2616444.927999994
2021-12-20,2569897.297599991
2021-12-21,2632345.268499992
2021-12-22,2644298.7733999905
2021-12-23,2669014.4112999896
2021-12-24,2669014.4112999896
2021-12-25,2669014.4112999896
2021-12-26,2669014.4112999896
2021-12-27,2655629.4841999873
2021-12-28,2620021.3118999884
2021-12-29,2593492.847799988
2021-12-30,2627385.447499986
2021-12-31,2609856.479299987
2022-01-01,2609856.479299987
2022-01-02,2609856.479299987
2022-01-03,2656581.8797999895
2022-01-04,2637864.523199987
2022-01-05,2554840.648799988
2022-01-06,2547155.868399987
2022-01-07,2544582.002399983
2022-01-08,2544582.002399983
2022-01-09,2544582.002399983
2022-01-10,2536284.9057999845
2022-01-11,2600221.8618999845
2022-01-12,2631470.2294999845
2022-01-13,2584695.304199986
2022-01-14,2594876.9769999874
2022-01-15,2594876.9769999874
2022-01-16,2594876.9769999874
2022-01-17,2594876.9769999874
2022-01-18,2526828.486999987
2022-01-19,2513248.901099988
2022-01-20,2480210.155999986
2022-01-21,2407110.752899987
2022-01-22,2407110.752899987
2022-01-23,2407110.752899987
2022-01-24,2423729.1887999866
2022-01-25,2439125.7988999863
2022-01-26,2437455.3325999854
2022-01-27,2368036.3179999846
2022-01-28,2431426.904699984
2022-01-29,2431426.904699984
2022-01-30,2431426.904699984
2022-01-31,2543763.951399983
2022-02-01,2596154.865099982
2022-02-02,2585172.9845999824
2022-02-03,2529373.493899982
2022-02-04,2552053.2876999825
2022-02-05,2552053.2876999825
2022-02-06,2552053.2876999825
2022-02-07,2585385.8541999846
2022-02-08,2587816.0120999836
2022-02-09,2670244.122099985
2022-02-10,2621761.932499982
2022-02-11,2591295.86219998
2022-02-12,2591295.86219998
2022-02-13,2591295.86219998
2022-02-14,2576779.516399982
2022-02-15,2641238.59639998
2022-02-16,2642326.79679998
2022-02-17,2558478.011499979
2022-02-18,2512022.51759998
2022-02-19,2512022.51759998
2022-02-20,2512022.51759998
2022-02-21,2512022.51759998
2022-02-22,2469932.0624999767
2022-02-23,2415908.2902999786
2022-02-24,2478876.506099978
2022-02-25,2532884.5274999794
2022-02-26,2532884.5274999794
2022-02-27,2532884.5274999794
2022-02-28,2559912.2115999777
2022-03-01,2533871.2438999773
2022-03-02,2578970.3549999776
2022-03-03,2523728.984899975
2022-03-04,2462916.300599975
2022-03-05,2462916.300599975
2022-03-06,2462916.300599975
2022-03-07,2446249.6432999754
2022-03-08,2463411.008099975
2022-03-09,2552402.4737999765
2022-03-10,2531854.555899976
2022-03-11,2472494.789599977
2022-03-12,2472494.789599977
2022-03-13,2472494.789599977
2022-03-14,2395278.9277999788
2022-03-15,2458040.6091999775
2022-03-16,2577407.4824999766
2022-03-17,2634626.209499978
2022-03-18,2696943.7249999796
2022-03-19,2696943.7249999796
2022-03-20,2696943.7249999796
2022-03-21,2688700.7812999794
2022-03-22,2752374.071699982
2022-03-23,2729690.981299982
2022-03-24,2783622.849999981
2022-03-25,2760753.5067999805
2022-03-26,2760753.5067999805
2022-03-27,2760753.5067999805
2022-03-28,2769457.4046999807
2022-03-29,2850835.0022999803
2022-03-30,2809504.1762999813
2022-03-31,2783154.6424999824
2022-04-01,2804754.1320999796
2022-04-02,2804754.1320999796
2022-04-03,2804754.1320999796
2022-04-04,2855183.0678999824
2022-04-05,2753561.614499983
2022-04-06,2698301.8274999815
2022-04-07,2682506.0556999817
2022-04-08,2670574.294999983
2022-04-09,2670574.294999983
2022-04-10,2670574.294999983
2022-04-11,2662619.1831999836
2022-04-12,2672384.2525999844
2022-04-13,2741793.251199986
2022-04-14,2692986.1434999877
2022-04-15,2692986.1434999877
2022-04-16,2692986.1434999877
2022-04-17,2692986.1434999877
2022-04-18,2683940.4427999854
2022-04-19,2723394.7321999865
2022-04-20,2688220.4597999854
2022-04-21,2611603.557299987
2022-04-22,2541781.651999985
2022-04-23,2541781.651999985
2022-04-24,2541781.651999985
2022-04-25,2570172.773399984
2022-04-26,2485665.8011999847
2022-04-27,2486431.0352999857
2022-04-28,2536644.537099985
2022-04-29,2498121.812499985
2022-04-30,2498121.812499985
2022-05-01,2498121.812499985
2022-05-02,2495791.9795999853
2022-05-03,2525135.3605999853
2022-05-04,2600899.007299987
2022-05-05,2469706.078699987
2022-05-06,2419046.5817999854
2022-05-07,2419046.5817999854
2022-05-08,2419046.5817999854
2022-05-09,2266595.4395999867
2022-05-10,2275026.2668999867
2022-05-11,2202836.2007999877
2022-05-12,2221808.3152999845
2022-05-13,2351926.218099983
2022-05-14,2351926.218099983
2022-05-15,2351926.218099983
2022-05-16,2336364.375699985
2022-05-17,2428510.565399985
2022-05-18,2344608.1834999854
2022-05-19,2383383.0135999867
2022-05-20,2381130.016099991
2022-05-21,2381130.016099991
2022-05-22,2381130.016099991
2022-05-23,2409368.56879999
2022-05-24,2360095.1297999904
2022-05-25,2396178.050699991
2022-05-26,2456234.5752999904
2022-05-27,2515829.8986999895
2022-05-28,2515829.8986999895
2022-05-29,2515829.8986999895
2022-05-30,2515829.8986999895
2022-05-31,2489422.43329999
2022-06-01,2481551.4922999903
2022-06-02,2561627.266899993
2022-06-03,2520838.2718999893
2022-06-04,2520838.2718999893
2022-06-05,2520838.2718999893
2022-06-06,2505271.9354999885
2022-06-07,2536677.1113999896
2022-06-08,2516025.370099988
2022-06-09,2490778.106499987
2022-06-10,2405469.2218999867
2022-06-11,2405469.2218999867
2022-06-12,2405469.2218999867
2022-06-13,2248852.6664999863
2022-06-14,2295190.361399986
2022-06-15,2330375.541799985
2022-06-16,2234549.1864999854
2022-06-17,2244362.243799986
2022-06-18,2244362.243799986
2022-06-19,2244362.243799986
2022-06-20,2244362.243799986
2022-06-21,2304931.9559999863
2022-06-22,2301100.8752999865
2022-06-23,2348809.2445999896
2022-06-24,2429028.602399987
2022-06-25,2429028.602399987
2022-06-26,2429028.602399987
2022-06-27,2439690.352799991
2022-06-28,2368510.4007999883
2022-06-29,2353354.78689999
2022-06-30,2316781.4152999897
2022-07-01,2348701.9552999907
2022-07-02,2348701.9552999907
2022-07-03,2348701.9552999907
2022-07-04,2348701.9552999907
2022-07-05,2379636.7808999913
2022-07-06,2379582.796999992
2022-07-07,2482135.4313999927
2022-07-08,2484807.2750999937
2022-07-09,2484807.2750999937
2022-07-10,2484807.2750999937
2022-07-11,2407533.406799991
2022-07-12,2409515.6913999906
2022-07-13,2431842.2089999914
2022-07-14,2385406.304899992
2022-07-15,2426016.502699991
2022-07-16,2426016.502699991
2022-07-17,2426016.502699991
2022-07-18,2435888.8200999936
2022-07-19,2499788.7687999923
2022-07-20,2522294.3159999917
2022-07-21,2519670.1637999904
2022-07-22,2490549.655199991
2022-07-23,2490549.655199991
2022-07-24,2490549.655199991
2022-07-25,2500709.0983999902
2022-07-26,2430654.7553999894
2022-07-27,2517981.64609999
2022-07-28,2561696.32789999
2022-07-29,2593928.3465999896
2022-07-30,2593928.3465999896
2022-07-31,2593928.3465999896
2022-08-01,2588171.178699989
2022-08-02,2657713.77899999
2022-08-03,2729338.84769999
2022-08-04,2728514.3315999894
2022-08-05,2752687.2714999877
2022-08-06,2752687.2714999877
2022-08-07,2752687.2714999877
2022-08-08,2788002.886499987
2022-08-09,2742982.348299987
2022-08-10,2856762.2213999894
2022-08-11,2864308.45749999
2022-08-12,2926821.585699992
2022-08-13,2926821.585699992
2022-08-14,2926821.585699992
2022-08-15,2926744.544599991
2022-08-16,2925163.66389999
2022-08-17,2863965.430099992
2022-08-18,2880241.117799993
2022-08-19,2797894.781699994
2022-08-20,2797894.781699994
2022-08-21,2797894.781699994
2022-08-22,2726123.151099994
2022-08-23,2750632.5996999955
2022-08-24,2797777.1586999944
2022-08-25,2852587.6090999953
2022-08-26,2745804.518299998
2022-08-27,2745804.518299998
2022-08-28,2745804.518299998
2022-08-29,2729209.8322999985
2022-08-30,2676062.0909999968
2022-08-31,2669197.3852999993
2022-09-01,2636971.0996000003
2022-09-02,2613003.846999998
2022-09-03,2613003.846999998
2022-09-04,2613003.846999998
2022-09-05,2613003.846999998
2022-09-06,2597002.8248999985
2022-09-07,2660273.007199998
2022-09-08,2689740.856199999
2022-09-09,2752984.248499998
2022-09-10,2752984.248499998
2022-09-11,2752984.248499998
2022-09-12,2776578.4961999976
2022-09-13,2660078.353999997
2022-09-14,2693633.8083999967
2022-09-15,2635598.9559999965
2022-09-16,2593009.649199995
2022-09-17,2593009.649199995
2022-09-18,2593009.649199995
2022-09-19,2585755.8299999963
2022-09-20,2517631.5591999954
2022-09-21,2460988.353499995
2022-09-22,2384791.2379999943
2022-09-23,2287724.9367999956
